"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)","Nome da campanha","Identificação da campanha","Nome do conjunto de anúncios","Identificação do conjunto de anúncios"
2026-03-09,2026-03-15,"AD58 [MDA] [VID] VENDA - AQUI O MEU CANAL JÁ TINHA",not_delivering,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B] - 2",120240064195460163
2026-03-09,2026-03-15,"AD155 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 07",inactive,,,0,0,,150,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B] - 2",120240064195460163
2026-03-09,2026-03-15,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[31/01/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [5]",120240768050490163,"00 - Advantage - All ADS",120240768050480163
2026-03-09,2026-03-15,"AD153 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO V2",inactive,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[31/01/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [5]",120240768050490163,"00 - Advantage - All ADS",120240768050480163
2026-03-09,2026-03-15,"AD58 [MDA] [VID] VENDA - AQUI O MEU CANAL JÁ TINHA",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[31/01/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [5]",120240768050490163,"00 - Advantage - All ADS",120240768050480163
2026-03-09,2026-03-15,"AD150 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 03",inactive,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[31/01/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [5]",120240768050490163,"00 - Advantage - All ADS",120240768050480163
2026-03-09,2026-03-15,"AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",inactive,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[31/01/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [5]",120240768050490163,"00 - Advantage - All ADS",120240768050480163
2026-03-09,2026-03-15,"AD178 [MDA] [VID] VENDA - ESSA É A ÚLTIMA CHANCE",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[31/01/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [5]",120240768050490163,"00 - Advantage - All ADS",120240768050480163
2026-03-09,2026-03-15,"AD06 [LVC] [VID] VENDA - SABE O QUE DA DINHEIRO HOJE",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/02/26] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [5]",120241047703720163,"00 - Advantage - All ADS",120241047703780163
2026-03-09,2026-03-15,"AD153 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO V2",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/02/26] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [5]",120241047703720163,"00 - Advantage - All ADS",120241047703780163
2026-03-09,2026-03-15,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/02/26] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [5]",120241047703720163,"00 - Advantage - All ADS",120241047703780163
2026-03-09,2026-03-15,"AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/02/26] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [5]",120241047703720163,"00 - Advantage - All ADS",120241047703780163
2026-03-09,2026-03-15,"AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/02/26] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [5]",120241047703720163,"00 - Advantage - All ADS",120241047703780163
