"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)","Nome da campanha","Identificação da campanha","Nome do conjunto de anúncios","Identificação do conjunto de anúncios"
2026-02-16,2026-02-22,"AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,91219,1.082307,172.6975,200,Diário,1381.58,"Na média","Acima da média","Na média",98727,13.993943,800,1.726975,0.810315,1860,1.883983,0.742785,,,,,,,113,,113,,,12.226372,8,,8,,,172.6975,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",120238010963330163
2026-02-16,2026-02-22,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,7,actions:offsite_conversion.fb_pixel_purchase,13371,1.15384,87.53285714,150,Diário,612.73,"Na média","Na média","Na média",15428,39.715452,231,2.652511,1.497278,473,3.065854,1.295412,,,,,,,54,,54,,,11.346852,7,,7,,,87.532857,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",120238323485780163
2026-02-16,2026-02-22,"AD183 [MDA] [VID] VENDA - REMARKETING 12",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL A] [R$ 197,00] [1]",120238623515480163,"00 - Page View VSL A - 180D - AD183 [MDA] [VID] VENDA - REMARKETING 12",120238625480720163
2026-02-16,2026-02-22,"AD183 [MDA] [VID] VENDA - REMARKETING 12",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [1]",120238626928870163,"00 - Page View VSL C - 180D - AD183 [MDA] [VID] VENDA - REMARKETING 12",120238626928760163
2026-02-16,2026-02-22,"AD155 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 07",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,4401,1.083617,75.61,150,Diário,75.61,"Na média","Na média","Na média",4769,15.854477,34,2.223824,0.712938,61,1.279094,1.239508,,,,,,,6,,6,,,12.601667,1,,1,,,75.61,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-16,2026-02-22,"AD58 [MDA] [VID] VENDA - AQUI O MEU CANAL JÁ TINHA",not_delivering,,,82,1.134146,,150,Diário,1.85,–,–,–,93,19.892473,2,0.925,2.150538,7,7.526882,0.264286,,,,,,,,,,,,,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-16,2026-02-22,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,385,1.241558,23.46,150,Diário,23.46,–,–,–,478,49.079498,9,2.606667,1.882845,18,3.76569,1.303333,,,,,,,2,,2,,,11.73,1,,1,,,23.46,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-16,2026-02-22,"AD150 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 03",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,6966,1.199254,196.43,150,Diário,196.43,"Na média","Na média","Na média",8354,23.513287,95,2.067684,1.13718,172,2.058894,1.142035,,,,,,,18,,18,,,10.912778,1,,1,,,196.43,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-16,2026-02-22,"AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,13664,1.223946,57.95,150,Diário,347.7,"Na média","Na média","Na média",16724,20.790481,202,1.721287,1.207845,346,2.068883,1.004913,,,,,,,32,,32,,,10.865625,6,,6,,,57.95,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-16,2026-02-22,"AD188 [MDA] [VID] VENDA - ELE TA GANHANDO MAIS",not_delivering,,,0,0,,100,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD188 [MDA] [VID] VENDA - ELE TA GANHANDO MAIS",120240072356180163
