"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)","Nome da campanha","Identificação da campanha","Nome do conjunto de anúncios","Identificação do conjunto de anúncios"
2026-02-01,2026-02-08,"AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",not_delivering,24,actions:offsite_conversion.fb_pixel_purchase,134207,1.128048,113.255,200,Diário,2718.12,"Na média","Na média","Na média",151392,17.954185,1113,2.442156,0.735178,2360,1.558867,1.151746,,,,,,,182,,182,,,14.934725,24,,24,,,113.255,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",120238010963330163
2026-02-01,2026-02-08,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,13,actions:offsite_conversion.fb_pixel_purchase,33796,1.302699,162.55076923,150,Diário,2113.16,"Na média","Na média","Na média",44026,47.998001,694,3.044899,1.576341,1205,2.737019,1.75366,,,,,,,112,,112,,,18.8675,13,,13,,,162.550769,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",120238323485780163
2026-02-01,2026-02-08,"AD183 [MDA] [VID] VENDA - REMARKETING 12",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL A] [R$ 197,00] [1]",120238623515480163,"00 - Page View VSL A - 180D - AD183 [MDA] [VID] VENDA - REMARKETING 12",120238625480720163
2026-02-01,2026-02-08,"AD163 [MDA] [VID] VENDA - REMARKETING 2",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [1]",120238626928870163,"00 - Page View VSL C - 180D - AD163 [MDA] [VID] VENDA - REMARKETING 2",120238626928830163
2026-02-01,2026-02-08,"AD183 [MDA] [VID] VENDA - REMARKETING 12",not_delivering,,,697,1.327116,,50,Diário,86.02,–,–,–,925,92.994595,12,7.168333,1.297297,18,1.945946,4.778889,,,,,,,1,,1,,,86.02,,,,,,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [1]",120238626928870163,"00 - Page View VSL C - 180D - AD183 [MDA] [VID] VENDA - REMARKETING 12",120238626928760163
2026-02-01,2026-02-08,"AD155 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 07",not_delivering,,,12007,1.130008,,150,Diário,272.5,"Na média","Na média","Na média",13568,20.084021,111,2.454955,0.818101,201,1.481427,1.355721,,,,,,,18,,18,,,15.138889,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-01,2026-02-08,"AD58 [MDA] [VID] VENDA - AQUI O MEU CANAL JÁ TINHA",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,10353,1.583985,85.145,150,Diário,340.58,"Abaixo da média – 35% mais baixos dos anúncios","Acima da média","Na média",16399,20.76834,143,2.381678,0.872004,270,1.646442,1.261407,,,,,,,18,,18,,,18.921111,4,,4,,,85.145,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-01,2026-02-08,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,,,886,1.156885,,150,Diário,42.81,–,–,–,1025,41.765854,15,2.854,1.463415,31,3.02439,1.380968,,,,,,,8,,8,,,5.35125,,,,,,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-01,2026-02-08,"AD150 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 03",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,11192,1.082112,255.61,150,Diário,255.61,"Na média","Na média","Na média",12111,21.105606,96,2.662604,0.792668,152,1.255057,1.681645,,,,,,,14,,14,,,18.257857,1,,1,,,255.61,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-01,2026-02-08,"AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,11965,1.143168,49.32833333,150,Diário,295.97,"Na média","Na média","Na média",13678,21.638397,121,2.446033,0.884632,214,1.564556,1.383037,,,,,,,27,,27,,,10.961852,6,,6,,,49.328333,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",120239726037500163,"00 - Lookalike 1% Pq 365d [VSL B]",120239726037590163
2026-02-01,2026-02-08,"AD188 [MDA] [VID] VENDA - ELE TA GANHANDO MAIS",not_delivering,,,0,0,,100,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD188 [MDA] [VID] VENDA - ELE TA GANHANDO MAIS",120240072356180163
2026-02-01,2026-02-08,"AD101 [MDA] [VID] VENDA - VOU TE REVELAR O SEGREDO V11",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD101 [MDA] [VID] VENDA - VOU TE REVELAR O SEGREDO V11",120240193675450163
2026-02-01,2026-02-08,"AD187 [MDA] [VID] VENDA - OLHA QUANTO ESSE",not_delivering,,,0,0,,200,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[22/12/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL C] [R$ 197,00] [4]",120239177089580163,"[00 - Aberto] [VSL C] - Best Ads [3°  Semana Jan26]",120240315900810163
2026-02-01,2026-02-08,"AD158 [MDA] [VID] VENDA - DA PRA GANHAR MUITA GRANA",not_delivering,,,0,0,,200,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[22/12/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL C] [R$ 197,00] [4]",120239177089580163,"[00 - Aberto] [VSL C] - Best Ads [3°  Semana Jan26]",120240315900810163
2026-02-01,2026-02-08,"AD07 [MDA] [VID] VENDA - 1 MISSÃO, MONETIZAR MAIS 1",not_delivering,,,0,0,,200,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[22/12/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL C] [R$ 197,00] [4]",120239177089580163,"[00 - Aberto] [VSL C] - Best Ads [3°  Semana Jan26]",120240315900810163
2026-02-01,2026-02-08,"AD189 [MDA] [VID] VENDA - SE VOCÊ OLHAR NO MEU",not_delivering,,,0,0,,200,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[22/12/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL C] [R$ 197,00] [4]",120239177089580163,"[00 - Aberto] [VSL C] - Best Ads [3°  Semana Jan26]",120240315900810163
2026-02-01,2026-02-08,"AD149 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 02",not_delivering,,,2940,1.195918,,100,Diário,91.33,–,–,–,3516,25.97554,37,2.468378,1.052332,58,1.649602,1.574655,,,,,,,9,,9,,,10.147778,,,,,,,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B] - Best Ads [Geral Janeiro]",120240429784550163
