"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)","Nome da campanha","Identificação da campanha","Nome do conjunto de anúncios","Identificação do conjunto de anúncios"
2026-02-09,2026-02-15,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,,,0,0,,100,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B] - Best Ads [Geral Janeiro]",120240429784550163
2026-02-09,2026-02-15,"AD61 [MDA] [VID] VENDA - SÓ FICA RICO NO BRASIL",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD61 [MDA] [VID] VENDA - SÓ FICA RICO NO BRASIL",120240513549680163
2026-02-09,2026-02-15,"AD190 [MDA] [VID] VENDA - PARA DE FICAR ACREDITANDO V2",not_delivering,,,0,0,,50,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD190 [MDA] [VID] VENDA - PARA DE FICAR ACREDITANDO V2",120240513857320163
2026-02-09,2026-02-15,"AD194 [MDA] [VID] VENDA - NÃO PERDE TEMPO",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,3314,1.619493,111.33666667,80,Diário,334.01,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",5367,62.234023,81,4.12358,1.509223,93,1.732812,3.591505,,,,,,,6,,6,,,55.668333,3,,3,,,111.336667,"[13/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [1]",120238621687030163,"00 - Advantage+ [VSL C] - AD194 [MDA] [VID] VENDA - NÃO PERDE TEMPO",120240843511050163
2026-02-09,2026-02-15,"AD62 [MDA] [VID] VENDA - O YOUTUBE MUDOU AGORA",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,2681,1.5442,249.53,50,Diário,249.53,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",4140,60.272947,66,3.780758,1.594203,87,2.101449,2.868161,,,,,,,1,,1,,,249.53,1,,1,,,249.53,"[13/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [1]",120238621687030163,"00 - Advantage+ [VSL C] - AD62 [MDA] [VID] VENDA - O YOUTUBE MUDOU AGORA",120240843681090163
2026-02-09,2026-02-15,"AD68 [MDA] [VID] VENDA - VOCÊ ACORDA CEDO",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,7892,1.160416,122.1875,80,Diário,488.75,"Na média","Na média","Na média",9158,53.368639,135,3.62037,1.474121,198,2.162044,2.468434,,,,,,,28,,28,,,17.455357,4,,4,,,122.1875,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD68 [MDA] [VID] VENDA - VOCÊ ACORDA CEDO",120241194675970163
2026-02-09,2026-02-15,"AD153 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO V2",not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,83961,1.137838,198.59625,200,Diário,1588.77,"Na média","Acima da média","Na média",95534,16.630414,957,1.660157,1.001738,2273,2.379258,0.698975,,,,,,,107,,107,,,14.848318,8,,8,,,198.59625,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD153 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO V2",120238011492190163
2026-02-09,2026-02-15,"AD155 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 07",not_delivering,,,5553,1.058887,,100,Diário,79.56,"Na média","Na média","Na média",5880,13.530612,39,2.04,0.663265,80,1.360544,0.9945,,,,,,,8,,8,,,9.945,,,,,,,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B]",120239176137740163
2026-02-09,2026-02-15,"AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",not_delivering,,,5369,1.048799,,100,Diário,88.26,"Na média","Na média","Na média",5631,15.673948,55,1.604727,0.976736,100,1.775884,0.8826,,,,,,,7,,7,,,12.608571,,,,,,,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B]",120239176137740163
2026-02-09,2026-02-15,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,2591,1.328445,98.47,100,Diário,98.47,"Na média","Na média","Na média",3442,28.608367,43,2.29,1.249274,78,2.266124,1.262436,,,,,,,14,,14,,,7.033571,1,,1,,,98.47,"[22/12/25] [LVC] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [R$ 197,00] [4]",120239176137660163,"[00 - Aberto] [VSL B]",120239176137740163
